Gender,Profession,comment,bully,sexual,religious,threat,spam
female,dancer,এই দেশে এইসব কি হচ্ছে,0,0,0,0,0
female,dancer,মানে কি বলব,0,0,0,0,0
female,dancer,ভাই ভিডিও ফুল প্লিজ,0,1,0,0,1
female,dancer,নিজের খরচ নিজেই চালাতে পারবেন এমন ভালো একটা জব আছে ঘরে বসে করতে পারবেন,0,0,0,0,1
female,dancer,ভিডিও কলে রেগুলার কাজ করতে পারবেন,1,1,0,0,1
female,dancer,কিসের কথা বলে,0,0,0,0,0
female,dancer,তোদের মা বোন এভাবে পরপুরুষ কে খাওয়াই নাকি,1,1,0,0,0
female,dancer,আমি জানি এখানে অনেক মেয়ে আসবে কমেন্ট পড়তে বা লিখতে,0,0,0,0,0
female,dancer,আমি একজন কলেজ ছাত্রী টাকার অভাবে এই পথ বেছে নিয়েছি,0,1,0,0,1
female,dancer,টাকার বিনিময়ে ভিডিও কলে সার্ভিস নিতে চায়লে নক দেন,0,1,0,0,1
female,dancer,১০০ সততার সঙ্গে কাজ করি,0,0,0,0,1
female,dancer,ভিডিও কলে কথা বলতে হলে ইনবক্স করুন,0,1,0,0,1
female,dancer,এমন একটা থাকলে আমিও খাওয়াইতাম,1,1,0,0,0
female,dancer,ভিডিও Call সার্ভিস দেই,0,1,0,0,1
female,dancer,Viral সব ভিডিও দেখার জন্যে নিচের link এ ক্লিক করে গ্রুপে জয়েন করে মজা নেওয়,0,1,0,0,1
female,dancer,একটা ফলো করে ইনবক্স করুন,0,0,0,0,1
female,dancer,সহি বুখারি হাদিস পড়তে নিচে থাকা লিংক এ ক্লিক করুন আপনি পড়ুন ও আপনার বন্ধুদের সাথে সেয়ার করুন,0,0,1,0,1
female,dancer,ও আচ্ছা,0,0,0,0,0
female,dancer,লিংকে ক্লিক করে,0,0,0,0,1
female,dancer,সেই,0,0,0,0,0
female,dancer,এই ভিডিও সহ নতুন নতুন কালেকশন আছে টেলিগ্রাম এ,0,1,0,0,1
female,dancer,রিলস্ কাঁপানো,0,0,0,0,0
female,dancer,২ দিনের দুনিয়াতে ৪ দিন পর পর লিংক ভাইরাল হয়,0,1,0,0,1
female,dancer,অনেইকই খোজেন কিন্তু অরিজিনাল পান না আমাদের গ্রুপে সব ধরনের ভাইরাল পাবেন,1,1,0,0,1
female,dancer,ভুল লিংক এ ক্লিক না করে ১০০ ভাইরাল লিংক পেতে ক্লিক করুন উপভোগ করুন,0,1,0,0,1
female,dancer,সরম সব খাইছে,1,0,0,0,0
female,dancer,মেয়েটার আসল নাম কী,0,0,0,0,0
female,dancer,টেলিগ্রাম ১৮ প্লাস গ্রুপ লিংক,0,1,0,0,1
female,dancer,বিশেষ দ্রষ্টব্য এটা একটা প্রাইভেট গ্রুপ তাই আর অল্প কিছু মেম্বার জয়েন হতে পারবেন তাই তাড়াতাড়ি নিচের লিংকে দিয়া গ্রুপ এ জয়েন হন,0,1,0,0,1
female,dancer,ভাইরাল সেলিব্রেটিদের এবং সকল রকম ভিডিও লিংক পেতে নিচে দেওয়া টেলেগ্রাম গ্রুপ এ জয়েন হয়ে ভিডিও দেখেন এবং ডাউনলোড করেন নিন,0,1,0,0,1
female,dancer,আপনারা অনেইকই লিংক খোজেন তাই আমাদের টেলিগ্রাম গ্রুপে সব ভাইরাল গ্রুপের লিংক দিয়েছি যেটা মন চায় বেছে বেছে দেখবেন,0,1,0,0,1
female,dancer,স্কুল ছাত্রছাত্রীর ফেসবুক কাঁপানো সেই ১২ মিনিট এর ভিডিও ভাইরাল,0,1,0,0,1
female,dancer,একবার দেখাবি এই রকম,1,1,0,0,1
female,dancer,প্রথম বার একদম ফ্রি যারা কাজ করতে চাও,1,1,0,0,1
female,dancer,উফ আজ কেউ নাই বলে,0,0,0,0,0
female,dancer,এমন বন্ধু থাকলে লাগে না কিছু,0,0,0,0,0
female,dancer,আমারে কেউ দেখাইত এম্নে,0,1,0,0,0
female,dancer,অনেক কঠিন,0,0,0,0,0
female,dancer,যেভাবে খুশি সেভাবে খেলতে পারবে,1,1,0,0,1
female,dancer,ভিডিও কল সার্ভিস চালু আছে কাজ করলে ইনবক্স করেন,0,1,0,0,1
female,dancer,বেয়াদব মেয়ে,1,0,0,0,0
female,dancer,মেয়াডার নাম কী,0,0,0,0,0
female,dancer,জরুরী কিছু সংখ্যক লোক লাগবে,0,0,0,0,1
